cod_mes,comunidad,provincia,municipio,contratos,indef_hombres,temp_hombres,conv_hombres,indef_mujeres,temp_mujeres,conv_mujeres,agricultura,industria,construccion,servicios,
201601,Andalucía,Almería,Abla,27,0,20,0,0,7,0,6,2,0,19,
201601,Andalucía,Almería,Abrucena,39,0,26,0,0,13,0,15,0,4,20,
201601,Andalucía,Almería,Adra,456,8,245,6,2,192,3,224,7,28,197,
201601,Andalucía,Almería,Albánchez,7,0,4,0,0,3,0,0,0,1,6,
201601,Andalucía,Almería,Alboloduy,6,0,3,0,0,3,0,2,0,0,4,
201601,Andalucía,Almería,Albox,194,2,103,1,3,85,0,19,15,30,130,
201601,Andalucía,Almería,Alcolea,96,0,65,0,0,30,1,72,0,3,21,
201601,Andalucía,Almería,Alcóntar,13,0,6,0,0,7,0,2,1,0,10,
201601,Andalucía,Almería,Alcudia de Monteagud,5,0,2,0,0,3,0,3,0,0,2,
201601,Andalucía,Almería,Alhabia,20,0,11,1,0,8,0,0,1,17,2,
201601,Andalucía,Almería,Alhama de Almería,43,2,21,0,1,18,1,11,2,8,22,
201601,Andalucía,Almería,Alicún,2,0,1,0,0,1,0,1,0,0,1,
201601,Andalucía,Almería,Almería,5062,101,2461,90,99,2260,51,666,181,294,3921,
201601,Andalucía,Almería,Almócita,8,0,6,0,0,2,0,0,0,2,6,
201601,Andalucía,Almería,Alsodux,0,0,0,0,0,0,0,0,0,0,0,
201601,Andalucía,Almería,Antas,374,11,299,2,4,54,4,133,6,11,224,
201601,Andalucía,Almería,Arboleas,65,2,48,2,2,11,0,9,3,2,51,
201601,Andalucía,Almería,Armuña de Almanzora,4,0,3,0,0,1,0,1,1,0,2,
201601,Andalucía,Almería,Bacares,13,0,7,0,0,6,0,5,0,0,8,
201601,Andalucía,Almería,Bayárcal,9,0,7,0,0,2,0,4,0,0,5,
201601,Andalucía,Almería,Bayarque,0,0,0,0,0,0,0,0,0,0,0,
201601,Andalucía,Almería,Bédar,3,0,3,0,0,0,0,0,0,0,3,
201601,Andalucía,Almería,Beires,1,0,0,0,0,1,0,0,0,0,1,
201601,Andalucía,Almería,Benahadux,110,0,66,1,1,40,2,2,57,8,43,
201601,Andalucía,Almería,Benitagla,3,0,2,0,0,1,0,0,0,0,3,
201601,Andalucía,Almería,Benizalón,10,0,7,0,0,3,0,4,0,0,6,
201601,Andalucía,Almería,Bentarique,14,0,6,0,0,8,0,0,0,0,14,
201601,Andalucía,Almería,Berja,319,1,192,0,0,124,2,150,8,20,141,
201601,Andalucía,Almería,Canjáyar,31,0,19,0,0,12,0,13,0,0,18,
201601,Andalucía,Almería,Cantoria,122,8,77,18,2,16,1,13,58,1,50,
201601,Andalucía,Almería,Carboneras,165,3,123,3,2,33,1,9,43,17,96,
201601,Andalucía,Almería,Castro de Filabres,0,0,0,0,0,0,0,0,0,0,0,
201601,Andalucía,Almería,Cóbdar,5,0,2,0,0,3,0,0,0,0,5,
